R.A.,Decl.,Object,Ks,V − Ks,M_{K_{s}},Vtan,Old type,New type,Metallicity,Gravity,Ref.,Ref.,Ref.
01 53 09.0,−33 25 02.1,SCR1913 − 1001,11.929 ± 0.028,3.69,…,…,,M1.0VI,m− − − −,g,,R,
00 17 40.0,−10 46 16.9,LHS0109,10.366 ± 0.021,3.51,7.63,176.1,K5,M1.0VI,m− − − −,g+,Y,R,2
21 04 00.5,−52 29 43.5,SCR2104 − 5229,12.763 ± 0.024,3.53,…,…,,M1.0VI,m− − − −,g+,,R,
14 55 35.8,−15 33 44.0,LHS0385,11.062 ± 0.023,3.55,7.61,403.4,M0,M1.0VI,m− − − −,g++,Y,R,Y
14 55 51.5,−39 14 33.1,SCR1455 − 3914,11.788 ± 0.024,3.65,…,…,,M1.0VI,m− − − −,g++,,R,
12 34 53.1,+05 03 54.1,LHS0335,13.000 ± 0.030,3.60,9.74,247.2,,M1.0VI,m− − − −,g+++,Y,R,
21 09 02.5,−52 26 17.8,SCR2109 − 5226,13.049 ± 0.036,3.66,…,…,,M1.0VI,m− − − −,g+++,,R,
01 31 04.1,−50 24 54.3,LEHPM1628,13.459 ± 0.038,3.70,…,…,,M1.0VI,m− − − −,g++++,,R,
06 54 06.3,−73 58 03.6,SCR0654 − 7358,13.285 ± 0.048,…,…,…,,M1.0VI,m− − −,g,,,
14 57 49.0,−39 04 51.4,SCR1457 − 3904,12.984 ± 0.030,3.69,…,…,,M1.0VI,m− − −,g,,R,
16 13 53.5,−30 40 58.4,SCR1613 − 3040,12.383 ± 0.031,3.66,…,…,,M1.0VI,m− − −,g,,R,
17 56 27.9,−59 27 18.2,SCR1756 − 5927,12.686 ± 0.030,3.61,…,…,,M1.0VI,m− − −,g,,R,
20 18 28.7,−66 06 44.5,SCR2018 − 6606,12.990 ± 0.030,…,…,…,,M1.0VI,m− − −,g,,,
05 29 40.9,−39 50 25.6,SCR0529 − 3950,11.651 ± 0.021,…,…,…,,M1.0VI,m− −,g,,,
21 01 45.6,−54 37 31.9,SCR2101 − 5437,12.078 ± 0.026,3.70,…,…,,M1.0VI,m−,g,,R,
08 01 29.0,+10 43 04.2,LHS1970,13.875 ± 0.032,3.84,9.43,374.8,esdM2.5,M1.0VI:,m−,g+:,Y,R,8
13 25 14.0,−21 27 06.0,LHS2734B,14.932 ± 0.136,3.90,too far,>280,,M1.0VI:,m−,g+:,R,R,
02 42 02.9,−44 30 58.7,LHS0158,9.726 ± 0.021,3.91,6.89,191.4,,M1.0[VI],m,g,11,11,
17 18 35.0,−43 26 24.0,LHS0440,8.948 ± 0.023,4.03,6.78,135.6,M1V,M1.0VI:,m,g+:,11,11,2
18 22 58.7,−45 42 45.3,SCR1822 − 4542,12.879 ± 0.027,3.92,…,…,,M1.0VI:,m,g+:,,R,
,,,,,,,,,,,,,
07 56 13.4,−67 05 20.6,WT0233,12.627 ± 0.024,3.60,7.84,326.8,M0.0VI,M2.0VI,m− − −,g,6,6,6
11 56 54.8,+26 39 56.3,LHS0318,11.797 ± 0.018,3.65,8.77,263.8,,M2.0VI:,m− − −,g,18,R,
05 11 40.6,−45 01 06.0,GJ0191,5.049 ± 0.021,3.80,7.08,161.0,sdM1.0,M2.0VI,"m− −, (−0.99)e",g,Y,13,8
02 56 13.2,−35 08 26.9,LHS0162,11.536 ± 0.021,3.82,7.13,364.1,M1.0VI,M2.0VI,m− −,g+,6,6,6
21 04 25.5,−27 52 48.5,LHS3620,12.696 ± 0.027,3.93,7.94,414.6,,M2.0VI,m− −,g+,R,R,
04 03 38.4,−05 08 05.4,LHS0186,10.854 ± 0.024,4.02,7.21,295.6,,M2.0VI,m−,g,Y,R,
15 43 18.3,−20 15 33.0,LHS0406,9.018 ± 0.021,4.04,7.40,117.4,M1.0V,M2.0VI,m−,g,11,11,2
00 55 43.8,−21 13 05.5,LHS0127,11.733 ± 0.023,4.06,…,…,,M2.0VI,m−,g+,,R,
06 29 56.4,−69 38 13.4,SCR0629 − 6938,12.901 ± 0.034,…,…,…,,M2.0VI,m−,g+,,,
,,,,,,,,,,,,,
12 24 26.8,−04 43 36.7,LHS0326,11.234 ± 0.023,3.67,7.69,304.9,,M3.0VI,m− −,g,R,R,
15 34 27.7,+02 16 47.5,LHS0398,11.502 ± 0.025,3.74,7.52,354.3,,M3.0VI,m− −,g,Y,19,
23 17 05.0,−13 51 04.1,LHS0541,12.414 ± 0.026,4.05,8.22,420.0,sdM3.0,M3.0VI,m− −,g+,Y,1,8
22 04 02.2,−33 47 38.9,SCR2204 − 3347,11.601 ± 0.027,3.84,…,…,,M3.0VI,m− −,g+,,R,
17 40 46.9,−56 46 58.0,SCR1740 − 5646,13.195 ± 0.040,…,…,…,,M3.0VI,m− −,g++,,,
19 16 46.5,−36 38 05.8,SCR1916 − 3638,12.947 ± 0.034,3.88,…,…,,M3.0VI,m− −,g++,,R,
04 25 38.4,−06 52 37.0,LHS0189AB,10.311 ± 0.037,3.94,8.59,128.3,,M3.0VI:,m−,g,7,7,
07 16 27.7,+23 42 10.4,LHS0228,11.298 ± 0.018,4.20,7.54,300.6,sdM2.0,M3.0VI,m−,g,Y,R,14
13 42 21.2,−35 34 50.7,SIP1342 − 3534,12.935 ± 0.030,4.37,…,…,,M3.0VI,m−:,g,,R,
04 11 27.1,−44 18 09.0,WT0135,9.834 ± 0.020,4.33,…,…,,M3.0VI,m−:,g,,5,
09 43 46.2,−17 47 06.2,LHS0272,8.874 ± 0.021,4.29,8.34,86.3,sdM3.0,M3.0VI,m−:,g+,Y,R,8
,,,,,,,,,,,,,
14 50 28.8,−08 38 36.8,LHS0381,11.237 ± 0.021,3.90,8.43,274.9,K7.0V,M3.5VI,m− −,g,Y,19,Y
14 31 38.4,−25 25 33.9,LHS0375,11.507 ± 0.022,4.12,9.61,157.5,esdM4,M3.5VI,m− −,g+,Y,R,8
01 38 49.0,+11 21 36.7,LHS0144,12.080 ± 0.026,4.24,8.57,386.6,,M3.5VI,m−,g,Y,R,
21 55 48.0,−11 21 42.1,LHS0515,12.912 ± 0.032,4.50,9.36,264.5,esdM5,M3.5VI,m−,g+,Y,R,17
,,,,,,,,,,,,,
05 00 15.3,−54 06 09.0,LEHPM3861,13.967 ± 0.059,4.47,…,…,esdM6,M4.0VI,m−,g,,R,15
,,,,,,,,,,,,,
03 02 06.3,−39 50 51.8,LHS1490,9.885 ± 0.023,4.37,…,…,,M5.0VI,m−,g,,R,
,,,,,,,,,,,,,
12 34 15.7,+20 37 05.7,LHS0334,13.044 ± 0.029,4.98,…,…,sdM4.5,M6.0VI,m− −,g,,R,17
08 53 57.0,−24 46 54.0,LHS2067A,11.571 ± 0.023,6.38,9.54,76.2,subdwarf,M6.0VI,m−,g,R,R,12
